method,episode,seed,success,return,length
random,0,0,1,0.613,43
random,1,1,1,0.118,98
random,2,2,0,0.0,100
random,3,3,0,0.0,100
random,4,4,1,0.622,42
random,5,10000,1,0.19899999999999995,89
random,6,10001,1,0.235,85
random,7,10002,1,0.20799999999999996,88
random,8,10003,0,0.0,100
random,9,10004,0,0.0,100
random,10,20000,1,0.31599999999999995,76
random,11,20001,0,0.0,100
random,12,20002,0,0.0,100
random,13,20003,1,0.703,33
random,14,20004,1,0.478,58
random,15,30000,0,0.0,100
random,16,30001,1,0.30699999999999994,77
random,17,30002,1,0.703,33
random,18,30003,0,0.0,100
random,19,30004,1,0.2709999999999999,81
random,20,40000,0,0.0,100
random,21,40001,0,0.0,100
random,22,40002,0,0.0,100
random,23,40003,1,0.45099999999999996,61
random,24,40004,0,0.0,100
wm,0,0,1,0.22599999999999998,86
wm,1,1,0,0.0,100
wm,2,2,1,0.856,16
wm,3,3,1,0.802,22
wm,4,4,1,0.829,19
wm,5,10000,1,0.586,46
wm,6,10001,0,0.0,100
wm,7,10002,1,0.856,16
wm,8,10003,1,0.4149999999999999,65
wm,9,10004,1,0.21699999999999997,87
wm,10,20000,1,0.694,34
wm,11,20001,1,0.9279999999999999,8
wm,12,20002,1,0.5589999999999999,49
wm,13,20003,1,0.29799999999999993,78
wm,14,20004,1,0.631,41
wm,15,30000,1,0.739,29
wm,16,30001,1,0.532,52
wm,17,30002,1,0.586,46
wm,18,30003,1,0.883,13
wm,19,30004,1,0.2799999999999999,80
wm,20,40000,1,0.802,22
wm,21,40001,1,0.18099999999999994,91
wm,22,40002,1,0.361,71
wm,23,40003,0,0.0,100
wm,24,40004,1,0.739,29
wm_vlm,0,0,0,0.0,100
wm_vlm,1,1,0,0.0,100
wm_vlm,2,2,0,0.0,100
wm_vlm,3,3,1,0.8109999999999999,21
wm_vlm,4,4,1,0.2709999999999999,81
wm_vlm,5,10000,0,0.0,100
wm_vlm,6,10001,1,0.17199999999999993,92
wm_vlm,7,10002,1,0.613,43
wm_vlm,8,10003,0,0.0,100
wm_vlm,9,10004,0,0.0,100
wm_vlm,10,20000,0,0.0,100
wm_vlm,11,20001,0,0.0,100
wm_vlm,12,20002,0,0.0,100
wm_vlm,13,20003,0,0.0,100
wm_vlm,14,20004,1,0.2799999999999999,80
wm_vlm,15,30000,0,0.0,100
wm_vlm,16,30001,0,0.0,100
wm_vlm,17,30002,1,0.45999999999999996,60
wm_vlm,18,30003,1,0.6399999999999999,40
wm_vlm,19,30004,1,0.532,52
wm_vlm,20,40000,1,0.18999999999999995,90
wm_vlm,21,40001,0,0.0,100
wm_vlm,22,40002,1,0.17199999999999993,92
wm_vlm,23,40003,0,0.0,100
wm_vlm,24,40004,0,0.0,100
